10011 30 41 5 -31 90 -52 -61 -6 46 11 62 62 -17 21 -14 35 2 47 -83 87 -84 57 -6 -26 -56 48 21 90 24 -12 46 -46 5 -31 90 -52 -61 -6 46 11 62 62 -17 21 -14 35 2 47 -83 87 -84 57 -6 -26 -56 48 21 90 24 -12 46 -46
10012 30 20 -58 38 -89 60 -5 39 -25 34 -83 89 10 -98 -16 22 -86 -44 -40 35 -62 5 68 -23 -28 -17 -67 88 36 -1 2 97 -58 38 -89 60 -5 39 -25 34 -83 89 10 -98 -16 22 -86 -44 -40 35 -62 5 68 -23 -28 -17 -67 88 36 -1 2 97
10013 30 41 -52 62 3 83 71 -1 20 -2 -29 -27 -98 -76 -7 -50 -73 -8 26 95 48 86 -44 23 71 -9 93 69 4 -93 59 -3 -52 62 3 83 71 -1 20 -2 -29 -27 -98 -76 -7 -50 -73 -8 26 95 48 86 -44 23 71 -9 93 69 4 -93 59 -3
10014 30 72 72 75 64 -82 65 65 89 -76 -31 59 7 26 7 -21 -96 10 77 -63 86 100 31 -72 -35 -84 -41 -6 -76 73 -94 -53 72 75 64 -82 65 65 89 -76 -31 59 7 26 7 -21 -96 10 77 -63 86 100 31 -72 -35 -84 -41 -6 -76 73 -94 -53
10015 30 53 -23 -99 -82 97 45 88 8 5 -59 -10 90 37 -1 96 69 16 13 -98 -70 57 -4 84 -36 43 18 20 -32 -31 -46 97 -23 -99 -82 97 45 88 8 5 -59 -10 90 37 -1 96 69 16 13 -98 -70 57 -4 84 -36 43 18 20 -32 -31 -46 97
10016 30 63 40 -3 -77 70 47 -15 -6 81 39 -41 2 -20 -11 -77 12 24 -22 -25 14 8 81 24 -8 -91 29 54 34 -37 62 76 40 -3 -77 70 47 -15 -6 81 39 -41 2 -20 -11 -77 12 24 -22 -25 14 8 81 24 -8 -91 29 54 34 -37 62 76
10017 30 26 -76 15 -3 -27 58 9 94 -26 65 95 92 26 -26 -73 78 -63 85 60 64 10 91 98 -68 91 4 94 -82 -79 88 32 -76 15 -3 -27 58 9 94 -26 65 95 92 26 -26 -73 78 -63 85 60 64 10 91 98 -68 91 4 94 -82 -79 88 32
10018 30 99 60 21 79 20 85 97 -28 -13 -75 57 73 -93 -44 57 86 -49 -78 -26 -36 35 -13 81 -78 -90 -27 33 95 -5 5 9 60 21 79 20 85 97 -28 -13 -75 57 73 -93 -44 57 86 -49 -78 -26 -36 35 -13 81 -78 -90 -27 33 95 -5 5 9
10019 30 15 100 -10 -33 37 74 -73 -6 -67 -37 -16 -40 -34 1 83 -8 -50 38 90 -10 45 94 -76 61 63 62 11 -19 9 -73 -27 100 -10 -33 37 74 -73 -6 -67 -37 -16 -40 -34 1 83 -8 -50 38 90 -10 45 94 -76 61 63 62 11 -19 9 -73 -27
10020 30 87 -85 12 -82 24 -96 64 38 23 -92 83 59 -53 13 48 4 32 -78 30 -21 -91 49 1 -79 -99 71 45 -57 53 56 -84 -85 12 -82 24 -96 64 38 23 -92 83 59 -53 13 48 4 32 -78 30 -21 -91 49 1 -79 -99 71 45 -57 53 56 -84
